citizen_race,use_of_force_by_citizen,agency,uof_uid,tracking_id,incident_year,incident_month,incident_day,citizen_uid,department_desc
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,3ef04ad6dfb6ee73bc662bda8edc421b,47f79cc35a38eb57b50315a983b6ee7f,2022,4,19,40952349c3d4e57aa98353838323b419,troop a
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,f18655e033f8a47cb7e778ef2c10ca13,47f79cc35a38eb57b50315a983b6ee7f,2022,4,19,d6c14fa163e8e80389435e93f4cb4ec5,troop a
white,pursuit only,louisiana-state-pd,643487af53d33c5522e71cad6f4d3398,4d00c8d60b9a2b4a5b3d794213b74102,2022,1,30,417613b1980d2df5da858a4c453fa2e5,troop e
black,pursuit only,louisiana-state-pd,50490c7e027522fd95c57b79292a4b56,f5626a1c9da5de11988182cfc50393a0,2022,1,20,a85f76e283b35fab2c62e3ea6c6e423d,troop a
black,pursuit only,louisiana-state-pd,c99ffa6fd4f5ea476404bb90e3f8aa47,f5626a1c9da5de11988182cfc50393a0,2022,1,20,d0c13edbafab267ef4f4171f16f20efc,troop a
black,pursuit only,louisiana-state-pd,23219ab51bd0fb967eddd09b6e0e39a3,b3f6d77ff44de2a0a42ccc3b2a4151bf,2022,12,26,c5d58f36ebf0d85688d2163b17a198d4,troop a
,pursuit only,louisiana-state-pd,d70fa6ecd7f40d212e90a08c308a28d9,5e37bdc078b4014cf768338a02684010,2022,8,29,f05657690fb6b27552248df17d06e0a4,troop a
,pursuit only,louisiana-state-pd,06147a52a50ab1507c7dc52644ea2e58,5e37bdc078b4014cf768338a02684010,2022,8,29,72b0209548707c660c8e1bef36b76b35,troop a
,pursuit only,louisiana-state-pd,80862c46f4bc796a27cd2928b2cf87bc,5e37bdc078b4014cf768338a02684010,2022,8,29,e58a855ceab6ff5d7f0598720f18ed9b,troop a
black,pursuit only,louisiana-state-pd,d70fa6ecd7f40d212e90a08c308a28d9,5e37bdc078b4014cf768338a02684010,2022,8,29,cfaaf35c7ec7a9860f34d7257c44f159,troop a
black,pursuit only,louisiana-state-pd,06147a52a50ab1507c7dc52644ea2e58,5e37bdc078b4014cf768338a02684010,2022,8,29,3cff8112fb88a114da9db49ee6813bdb,troop a
black,pursuit only,louisiana-state-pd,80862c46f4bc796a27cd2928b2cf87bc,5e37bdc078b4014cf768338a02684010,2022,8,29,eed7fb03777e738866803c282de3ccc0,troop a
black,pursuit only,louisiana-state-pd,f4586e2aa53ac9bc1614691b0bd8eb97,5cac48f92afc8a4c6e630aa5021637f4,2022,8,14,623c1f7b80a52ae47133443ba3cacb9e,troop a
black,pursuit only,louisiana-state-pd,1658f9a389354910c9fd66e2493df40a,5cac48f92afc8a4c6e630aa5021637f4,2022,8,14,0635ea8956ed5563222b362d666ff0c1,troop a
white,pursuit only,louisiana-state-pd,65c417e5b122ec48f9f6f6d82addcee8,ad8f0be772b74d30828ec2db5068b838,2022,4,30,25fc4b8d69a61cae9e97b2f7dc8c786e,troop g
black,pursuit only,louisiana-state-pd,7a7c96cbbdc67aca5d0c07e2c8cb3b0d,7ff47581977f5812a10bac51f7cf6646,2022,6,2,ce61b952c5d0603be22972e72a9e1784,troop g
white,pursuit only,louisiana-state-pd,7eff39f963af0d50c2ff04000b23b035,6c33a910559a4a54edabc9eae3774be0,2022,12,29,66e187a9ed876743de51f92ead8cef6e,troop g
black,pursuit only,louisiana-state-pd,55b2ac3bc413657f14fab0aeb044c4ba,09ac760b386080438ce200400b6c87c1,2022,12,7,67807f9170407cb9eee2d2fb8a8ad234,troop e
white,pursuit only,louisiana-state-pd,46506a53dfab06d6166989cdfcbd0aba,3bf24ebf3524a05682531e2a724758a0,2022,1,29,9f22b323fdb02f61bafc01f4a6f8b32f,troop e
white,pursuit only,louisiana-state-pd,af9525713a8dea4e7e86cdadbcd67dec,3bf24ebf3524a05682531e2a724758a0,2022,1,29,7d43f2091641175c04a3871718fad5eb,troop e
,pursuit only,louisiana-state-pd,644be8ddc21d3be3f2e615554a131ed1,5b0d63a39c518e42391a9aa4fef122ec,2022,6,12,9a98754bcebdd11f128e147165316d4e,troop b
black,pursuit only,louisiana-state-pd,eddbc4f2552ce39608d02f32b33086cd,4f994bac57e7e6869464cc23b9ace96f,2022,8,19,a435ba9e4b4fbcdd537a0e326436e510,troop nola
hispanic,pursuit only,louisiana-state-pd,47f00492c06f15da64fe1463f6e5f815,9c888a0172b040fae1f410719823d6a0,2022,10,27,400f1bd6b405df354be42e58abd2af8e,troop b
black,pursuit only,louisiana-state-pd,5da68845701f9575bec1786489a61337,d4549e38319bd386092b901a1a09dd3b,2022,8,6,630ef89faddb01a81f6d0f1d70a67926,troop b
black,pursuit only,louisiana-state-pd,1fb131aea75be6d6ad222fb30ffe333d,d4549e38319bd386092b901a1a09dd3b,2022,8,6,967586794d38d2153f4cacb93eff8008,troop b
black,pursuit only,louisiana-state-pd,788192e66b5c61b8a4f3bcff2ae6af65,505ef204731847593e65315f4f4f9513,2022,1,19,71671dd464adbe74c7626b77d416d715,troop b
black,pursuit only,louisiana-state-pd,3c170a8db0b01e5065505e2d891058e5,505ef204731847593e65315f4f4f9513,2022,1,19,3670ef284bb49d64f7f302929e8aabe5,troop b
black,,louisiana-state-pd,e9d323aae94eccc993f2cf052ca13a8c,050e0e2079903846ec22caf6028c918a,2022,11,29,88d953f290d82393811c5b757284dc86,troop e
black,pursuit only,louisiana-state-pd,1ca69c9e8cbcbeb7984150999ae97768,8b21a99c20b9d13d4fcc500718fea500,2022,9,25,ea41ab4d4a28b85372fb37190c9fe592,troop e
black,pursuit only,louisiana-state-pd,d7dc29512fd926e80f79c7950d1cb65b,8b21a99c20b9d13d4fcc500718fea500,2022,9,25,687a9574c5fbdba4814343756aa21bf7,troop e
black,pursuit only,louisiana-state-pd,6e4f616552527a6281f55afd59f3b7ee,8b21a99c20b9d13d4fcc500718fea500,2022,9,25,cd2c9bea1c981d2c39c66b1ec32962dc,troop e
black,,louisiana-state-pd,b51aa9fe2b730057460d34f62cae0647,b77898ec2bef64813ec6f84fb4ff1f8c,2022,2,13,f288670c279f21f6f8d2012c8ea33c0c,troop l
black,pursuit only,louisiana-state-pd,0f82c37150308db8327e25ac611b4b30,e26f29fcd637aed19f77f5976fd2b278,2022,3,18,22c73c0856a7cbe5f6bd2893b95fc540,troop l
white,pursuit only,louisiana-state-pd,15fdf4c38802cd7a0de575a6f1033025,756c30ef613238d5275ca914beaf2ac4,2022,9,5,7be2e219ba4f1172e955cf8d044e9b83,troop l
white,pursuit only,louisiana-state-pd,3f327fe930f144623bc11673e82f3978,6474f903b81a5b0b76fb6ea869de9899,2022,2,15,bc0178f2c3d4d5df064cd701214e1b28,troop e
,pursuit only,louisiana-state-pd,060bbd726c2c8dd6ce2948f5746b8555,226cef26588dacaf397dba7ef1efa9c8,2022,10,27,1ab39064d1e8a8f9b9f682d1c32d23a0,troop a
white,pursuit only,louisiana-state-pd,0f3be8c0a5d9410676980f786745b14d,3f8ad3a2a3830a7aa6fea0ab491e5283,2022,8,4,2df9569f735c76ae559517915f9446c6,troop c
white,"other use of hands, fists, feet, etc.",louisiana-state-pd,6ad4533cf9466a13fbc43aa5e420b7a5,a7f6e3652a61af0316be05ea8612cc5a,2022,6,9,80941bb29574dd68a118806e0ca37d4e,troop e
black,,louisiana-state-pd,8b1061641de84e4d1f009cc5f2644b2f,453aae27645369fc4c2aafc851f32aeb,2022,9,26,b6927a9988b4327fc4958f33f2acd912,troop e
,pursuit only,louisiana-state-pd,b3ca3c8b05aecb6fcfd8a7ef1076f6a1,fb4709f31ff25937658d524a10f855ca,2022,2,12,e4b9d6841f3e9396d1f2504b06343d3e,troop b
,pursuit only,louisiana-state-pd,bc32cff3ea7e0f047e6c8ad807c14f92,fb4709f31ff25937658d524a10f855ca,2022,2,12,d0977d079931942275598d2a8d4c3691,troop b
black,pursuit only,louisiana-state-pd,735ecf4c94f6a1b9c7028971ee9e57f3,de367f857d21ba15f399d93e50639f52,2022,7,30,4ee46be413c7a9606074ea256d978f38,troop d
black,pursuit only,louisiana-state-pd,03a0da3b854781e3d87c61f3236a5342,92a623be99866fbd3246979d02638246,2022,3,25,c50b972f41b7755ec230044e13486ed8,troop d
white,,louisiana-state-pd,a16741091d52987ab1875701fdb2af60,99b691c948ca21a24532760ff6e0e8e9,2022,10,4,aa3fd4e0d89d39986df99ff40edd1328,troop a
black,pursuit only,louisiana-state-pd,42818175890b356d66d2598edbb1b1ae,80d99c12934dde348d58f1a06a1c1d38,2022,7,8,7defb7aedf912b1a0c7a70f9eafe2647,troop e
black,"other use of hands, fists, feet, etc.",louisiana-state-pd,f328ddfc4986053d0e5a8e6d56f6f45d,789632166a9be90d3079911337cadffd,2022,9,3,34a9e481cc353f1c7d575ef1c1e52039,troop e
black,pursuit only,louisiana-state-pd,44b0e97b248667e5af80b1056891b5a0,088cc2408582de0ddc94cce60a45e392,2022,4,10,89d11796e7d0579b8fe5743d2bfda6ac,troop e
white,pursuit only,louisiana-state-pd,09ba19c392a580a8f2459ca188e2d585,c0c378105db0e057c5b108ea55e52963,2022,4,9,114593fe130f2a0a68cae9a0c9c88365,troop b
black,pursuit only,louisiana-state-pd,edfc0c3bfa13c7518e8aa16b80a79072,0032a8446ee5287ef08439455666c33b,2022,5,20,2cf081478b63453447e4ab615c9d6727,troop b
,pursuit only,louisiana-state-pd,588875e9111fa9b5a50e7e3ba537c8d0,12f5f28a061f188a5369805b3229501f,2022,6,4,6c36942b3fa83d7638aa1cdef7879426,troop b
black,pursuit only,louisiana-state-pd,c3c442f24efb6059c9c1d3b91c5e6673,758b15ea742baf4eee7c47743d9e4072,2022,4,23,ec9d5488c58e8a28417b5d866aecb17a,troop b
black,pursuit only,louisiana-state-pd,b545cd5fbbd9cfd075ddafe1e9217c2d,758b15ea742baf4eee7c47743d9e4072,2022,4,23,477804c4d5ed0f851007c80b5123a7cd,troop b
black,,louisiana-state-pd,589ba1b7622c9debf4652c2e43069e0b,d764b736cbfd1fd806016b39871955dd,2022,4,19,56a00f114e305384f6c6deb19e3bd4e9,troop b
black,,louisiana-state-pd,1b96245872a3cf930a174a9220549bf1,d764b736cbfd1fd806016b39871955dd,2022,4,19,777ddebfb5377b38017494c1206de9cc,troop b
black,pursuit only,louisiana-state-pd,39a8003a35e2e7b30ce25c307aa3d2ae,5c37533649f91fbd10c3211cb519f0a0,2022,4,13,4413df76907f2b8a692cd22cd7184945,troop g
,pursuit only,louisiana-state-pd,9a766cb7d24c5ce86a3e27ba014ad2f6,619ded82f283ee18e20c8cfed061bf93,2022,4,26,cbe6d9d7a309d6e7ae798e3a770be891,troop g
black,pursuit only,louisiana-state-pd,644cfcb5893384caa119b61dfc7b8175,3b42b3aa66bacdda66d59750beff8016,2022,5,10,052db45c2d70feeafefe0019fe277d0d,troop g
,pursuit only,louisiana-state-pd,3b30f9c287318515280be18dd4891a4a,39c54f40af76eedb4f22ea17988902ac,2022,11,26,4818fde05fe8e6a11e2941f463673e3d,troop g
black,,louisiana-state-pd,bb7346640fa9da287a540a2bfa6fe67c,13efb953b4bf78e55e9d91c406dc0034,2022,5,18,46e3b3c3c8605b275a7de59947c3a60d,troop nola
black,,louisiana-state-pd,bcdfd4c3ba195406c86664fbf30418a1,13efb953b4bf78e55e9d91c406dc0034,2022,5,18,1148893e9f4b01364c191b681f917efc,troop nola
black,,louisiana-state-pd,50da302dfb6f14206c2d22d7a2992ec8,a8983dddc8fa6e81b1500879dc73a5bc,2022,8,20,7133f7caa043ba6223603fe3cbb4ddd7,troop i
black,"other use of hands, fists, feet, etc.",louisiana-state-pd,e408399c7eeeb7bcf599b163c814ec7e,c0573553d5bc0f7cde4540eca3e13530,2022,10,15,e90a859df1cc6c33d68532c818cd3e9c,troop i
black,"other use of hands, fists, feet, etc.",louisiana-state-pd,f2d8119ba1bfd24b9bfc3b6768490ac1,c0573553d5bc0f7cde4540eca3e13530,2022,10,15,a2b782f9165cb684cc46bb6b94cc3c95,troop i
black,,louisiana-state-pd,a0c268cdfb81a4cebe0c282b7f02c170,4690d99eca37ee8f81455dae3c53de80,2022,1,12,43e1c3b6bee3970e51e343c5dd3df48c,troop i
black,,louisiana-state-pd,e50e18536ca27820ab0a12e30bb7c209,4690d99eca37ee8f81455dae3c53de80,2022,1,12,c68e52bae32bfa26662f2258a7076fd4,troop i
white,"other use of hands, fists, feet, etc.",louisiana-state-pd,47bb0713e3a027dc2b3c58033b9922f2,2f9c43b8ee70a1067826f54a971cc5ab,2022,4,3,75c43c69662cc6b61b266a2897cd6a87,troop nola
white,,louisiana-state-pd,359e86c084988f3322e09778d1b35e13,d9b0a409699ccf4c87704bdddef4760b,2022,4,3,ae875ed9696654b36e94b1bae12c1140,troop nola
white,,louisiana-state-pd,fd6bf8913a5a39900be0de4ecfb8a1f9,d9b0a409699ccf4c87704bdddef4760b,2022,4,3,9c7e7dd5ca6677b87fca36d0c703e726,troop nola
white,pursuit only,louisiana-state-pd,d446992833f24f859184d7c0ae98252f,84fc17b17be10fabfc9707d410553ee2,2022,1,5,f19e99f17b955d4b374091908cc08c08,troop d
hispanic,,louisiana-state-pd,9ab7260d4f6591cd32e4cb0faf8d3ac4,aaffe2ebf0f794d8fcb1cb8c669f4a2c,2022,2,26,8e1887ada45e7ee31c05ca5a47b1719f,troop nola
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,117299c9159e51e31d97fcbe7b79aa30,7e8ab003aec9d610159abd413eb7c042,2022,2,26,e60c9a4b5667d8b1d24816d51fb2bae2,troop nola
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,5094ab8bd80241766efd810c02124774,7e8ab003aec9d610159abd413eb7c042,2022,2,26,a1d68ca49f7db74f7fd8a4dc47c14640,troop nola
white,,louisiana-state-pd,d7e0336d9d26fbc1c6953570110d2d52,ca121af40a6fb436cfbb08cca2f587a2,2022,6,1,5d49659092ea13fa099545a01327739e,troop e
white,pursuit only,louisiana-state-pd,bd0d0fdbd1dce582b6cdef6b9de3c5e3,c37f8fed7ee01e65181c84b52871755a,2022,11,4,bea127d863eec1db711a61a0217cc757,troop e
black,,louisiana-state-pd,e7af3c3bd7372d471b09f10166a1247c,046712b8e25df05367fac7ae7a922893,2022,2,15,3b8ae0ae46ae5abcd790b3f217d17d35,troop d
white,,louisiana-state-pd,e7af3c3bd7372d471b09f10166a1247c,046712b8e25df05367fac7ae7a922893,2022,2,15,12a545924ba080b72eddbb1b8ff4e1ad,troop d
black,pursuit only,louisiana-state-pd,d068e0fdfb2b04a75b0016ee0e013cb9,a7f84065ddf09caf2cd8ceca1661ce61,2022,3,1,c9a2e507eb5b088e5f74ed837582d170,troop d
black,,louisiana-state-pd,ecd5e4962fb251466f8271fb2e742449,b4f926d34a2a24ad3ae5bf8cd5c0717a,2022,1,1,b8c3ec4e09d62c19509ba8adfd8770da,troop b
white,,louisiana-state-pd,1a53752320c782e3dde38d10cb49771d,cfc207d3d731e76b24896ba4e03e11f4,2022,3,2,df835caad1b4d6df6198fa5df9d4d459,troop nola
white,,louisiana-state-pd,f67f2a7f793ff18f0cbf4dd8a3531461,cfc207d3d731e76b24896ba4e03e11f4,2022,3,2,2b85d9aa2b2ab36e5ce6d7b8ade52ede,troop nola
white,,louisiana-state-pd,5cd0687e6f1ea84f45f7881b11a6b3d8,cfc207d3d731e76b24896ba4e03e11f4,2022,3,2,256ec85089746eb0c6a4906179b6a128,troop nola
white,,louisiana-state-pd,c0dade533648a9af4e4c8a244f8076f0,cfc207d3d731e76b24896ba4e03e11f4,2022,3,2,11bcce2269330a7e08d8a5719829dad9,troop nola
white,,louisiana-state-pd,bd169356de163656e539978500e90421,cfc207d3d731e76b24896ba4e03e11f4,2022,3,2,3e64f05098d251447baafac73bec9258,troop nola
white,,louisiana-state-pd,95ac881219ed2926f59166cd318f54c7,cfc207d3d731e76b24896ba4e03e11f4,2022,3,2,988e5540d14fa76cb5fefbdb40d31362,troop nola
black,pursuit only,louisiana-state-pd,63d9ab6af94c35f41f4a62d2a9a67e5b,95212e110fe73ed23d6ce46ac0c7a154,2022,2,10,dfe38ca1001ddb6e40a55d10dce6c2ec,troop d
black,pursuit only,louisiana-state-pd,455bcef4bff39985e2e8b3b9803cfc1c,1d9528a94af035afbe94b8697af04382,2022,4,27,a30d412708ec68cb378e8f74c30086cb,troop d
white,pursuit only,louisiana-state-pd,571116d9074fe00c5fdcbde2eebacbaa,bc2c92ed0cac7ff7faf9dcb49150d69e,2022,10,2,9d8fbb130fd7b2c5cdf09b35359c2302,troop l
black,,louisiana-state-pd,dfbed64a71eb17344dac005d054443c5,c98c1795c1a18e7ccef14a727ac825d2,2022,11,9,e36d0aa5af6feb427f7e6e334bb24040,troop l
white,electronic control device,louisiana-state-pd,b2c8878353d671dc3d01ddd6fac32ef5,9ae504c2a275c7cb53b2731a8f481136,2022,12,7,90eb3c0e2cdcd03956a1ab4f4216d00d,troop l
